sr,items,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Month,Profit/item,,,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Profit/item
21,Dr Oetker Veg Mayonnise,6,99.00,86.33,518.00,5,495.00,-23.00,Nov,12.67,,,,,,,,,,
22,Ghadi Detergent Powder ,10,36.00,31.41,314.10,7,252.00,-62.10,Nov,4.59,,,,,,,,,,
23,Britannia Cookies,40,45.00,35.75,"1,430.00",7,315.00,-1115.00,August,9.25,,,,,,,,,,
24,Dove soap,10,65.00,54.85,548.50,5,325.00,-223.50,Jan,10.15,,,,,,,,,,
25,Surf Excel Detergent,24,68.00,60.32,"1,447.70",17,1156.00,-291.70,June,7.68,,,,,,,,,,
26,Tata Tea,6,255.00,193.00,"1,158.00",5,1275.00,117.00,July,62.00,,,,,,,,,,
27,Dukes (snacks),5,60.00,28.20,141.00,5,300.00,159.00,Feb,31.80,,,,,,,,,,
28,Horlicks,3,249.00,193.38,580.10,3,747.00,166.90,Oct,55.62,,,,,,,,,,
29,Surf Excel Detergent,12,136.00,120.50,"1,446.00",6,816.00,-630.00,Oct,15.50,,,,,,,,,,
30,Kellogg's,32,10.00,7.75,248.00,27,270.00,22.00,Dec,2.25,,,,,,,,,,
31,Cookies,10,57.00,45.60,456.00,9,513.00,57.00,Jan,11.40,,,,,,,,,,
32,Cookies,10,67.00,51.20,512.00,7,469.00,-43.00,March,15.80,,,,,,,,,,
33,Oreo Biscuits,48,10.00,9.04,433.90,41,410.00,-23.90,Oct,0.96,,,,,,,,,,
34,Glucon D,14,83.00,63.08,883.10,9,747.00,-136.10,June,19.92,,,,,,,,,,
35,Glucon D,12,53.00,42.40,508.80,6,318.00,-190.80,August,10.60,,,,,,,,,,
36,Glow & Lovely Facewash,8,160.00,117.06,936.50,6,960.00,23.50,August,42.94,,,,,,,,,,
37,Glow & Lovely Facewash,12,79.00,60.64,727.70,7,553.00,-174.70,August,18.36,,,,,,,,,,
38,Bournvita,12,30.00,25.80,309.60,6,180.00,-129.60,Sept,4.20,,,,,,,,,,
39,Patanjali Toothpaste,12,115.00,101.78,"1,221.40",5,575.00,-646.40,Dec,13.22,,,,,,,,,,
40,Dettol Soap,3,199.00,176.00,528.00,3,597.00,69.00,June,23.00,,,,,,,,,,
41,Patanjali Toothpaste,1,720.00,637.20,637.20,1,720.00,82.80,Jan,82.80,,,,,,,,,,
42,Tata Tea,3,510.00,335.00,"1,005.00",3,1530.00,525.00,Feb,175.00,,,,,,,,,,
43,Dukes (snacks),6,60.00,28.20,169.20,6,360.00,190.80,April,31.80,,,,,,,,,,
44,Mama Earth Face Wash,6,99.00,69.30,415.80,6,594.00,178.20,Dec,29.70,,,,,,,,,,
45,Horlicks,3,249.00,193.38,580.10,3,747.00,166.90,June,55.62,,,,,,,,,,
